[04-07 16:03:59.486]??????????ID[1],?????Argent Harbor?? 
[04-07 16:03:59.486]??????????ID[2],?????Thundoria Harbor?? 
[04-07 16:03:59.486]??????????ID[3],?????Shaitan Harbor?? 
[04-07 16:03:59.486]??????????ID[4],?????Icicle Harbor?? 
[04-07 16:03:59.486]??????????ID[5],?????Zephyr Harbor?? 
[04-07 16:03:59.486]??????????ID[6],?????Glacier Harbor?? 
[04-07 16:03:59.486]??????????ID[7],?????Outlaw Harbor?? 
[04-07 16:03:59.486]??????????ID[8],?????Harbor of Chill?? 
[04-07 16:03:59.486]??????????ID[9],?????Canary Harbor?? 
[04-07 16:03:59.486]??????????ID[10],?????Cupid Harbor?? 
[04-07 16:03:59.486]??????????ID[11],?????Harbor of Fortune?? 
[04-07 16:03:59.486]??????????ID[12],?????Mystery Harbor?? 
[04-07 16:03:59.486]??????????ID[13],?????Spring Harbor?? 
[04-07 16:03:59.486]??????????ID[14],?????Summer Southern Harbor?? 
[04-07 16:03:59.486]??????????ID[15],?????Southern Summer Harbor?? 
[04-07 16:09:52.877]??????????ID[1],?????Argent Harbor?? 
[04-07 16:09:52.885]??????????ID[2],?????Thundoria Harbor?? 
[04-07 16:09:52.885]??????????ID[3],?????Shaitan Harbor?? 
[04-07 16:09:52.885]??????????ID[4],?????Icicle Harbor?? 
[04-07 16:09:52.885]??????????ID[5],?????Zephyr Harbor?? 
[04-07 16:09:52.885]??????????ID[6],?????Glacier Harbor?? 
[04-07 16:09:52.885]??????????ID[7],?????Outlaw Harbor?? 
[04-07 16:09:52.885]??????????ID[8],?????Harbor of Chill?? 
[04-07 16:09:52.885]??????????ID[9],?????Canary Harbor?? 
[04-07 16:09:52.885]??????????ID[10],?????Cupid Harbor?? 
[04-07 16:09:52.885]??????????ID[11],?????Harbor of Fortune?? 
[04-07 16:09:52.885]??????????ID[12],?????Mystery Harbor?? 
[04-07 16:09:52.885]??????????ID[13],?????Spring Harbor?? 
[04-07 16:09:52.885]??????????ID[14],?????Summer Southern Harbor?? 
[04-07 16:09:52.885]??????????ID[15],?????Southern Summer Harbor?? 
[04-07 16:21:23.676]??????????ID[1],?????Argent Harbor?? 
[04-07 16:21:23.676]??????????ID[2],?????Thundoria Harbor?? 
[04-07 16:21:23.676]??????????ID[3],?????Shaitan Harbor?? 
[04-07 16:21:23.676]??????????ID[4],?????Icicle Harbor?? 
[04-07 16:21:23.676]??????????ID[5],?????Zephyr Harbor?? 
[04-07 16:21:23.676]??????????ID[6],?????Glacier Harbor?? 
[04-07 16:21:23.676]??????????ID[7],?????Outlaw Harbor?? 
[04-07 16:21:23.676]??????????ID[8],?????Harbor of Chill?? 
[04-07 16:21:23.676]??????????ID[9],?????Canary Harbor?? 
[04-07 16:21:23.676]??????????ID[10],?????Cupid Harbor?? 
[04-07 16:21:23.676]??????????ID[11],?????Harbor of Fortune?? 
[04-07 16:21:23.676]??????????ID[12],?????Mystery Harbor?? 
[04-07 16:21:23.676]??????????ID[13],?????Spring Harbor?? 
[04-07 16:21:23.676]??????????ID[14],?????Summer Southern Harbor?? 
[04-07 16:21:23.676]??????????ID[15],?????Southern Summer Harbor?? 
[04-07 16:27:37.543]??????????ID[1],?????Argent Harbor?? 
