[04-07 16:03:59.486]??????????????????Level, ItemID, Count, PileID 1  4543  10  4547  
[04-07 16:03:59.486]?????????????????level, ItemID, Count, PileID 1  4544  10  4548  
[04-07 16:03:59.486]?????????????????level, ItemID, Count, PileID 2  4545  10  4549  
[04-07 16:03:59.486]?????????????????level, ItemID, Count, PileID 3  4546  10  4550  
[04-07 16:09:52.885]??????????????????Level, ItemID, Count, PileID 1  4543  10  4547  
[04-07 16:09:52.885]?????????????????level, ItemID, Count, PileID 1  4544  10  4548  
[04-07 16:09:52.885]?????????????????level, ItemID, Count, PileID 2  4545  10  4549  
[04-07 16:09:52.885]?????????????????level, ItemID, Count, PileID 3  4546  10  4550  
[04-07 16:21:23.676]??????????????????Level, ItemID, Count, PileID 1  4543  10  4547  
[04-07 16:21:23.676]?????????????????level, ItemID, Count, PileID 1  4544  10  4548  
[04-07 16:21:23.676]?????????????????level, ItemID, Count, PileID 2  4545  10  4549  
[04-07 16:21:23.676]?????????????????level, ItemID, Count, PileID 3  4546  10  4550  
[04-07 16:27:37.543]??????????????????Level, ItemID, Count, PileID 1  4543  10  4547  
