[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 1  2  2  4  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 2  3  5  9  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 3  4  8  16  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 4  5  13  25  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 5  6  18  36  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 6  7  24  49  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 7  8  31  64  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 8  9  40  81  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 9  10  50  100  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 10  11  61  121  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 11  12  75  144  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 12  13  91  169  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 13  14  109  196  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 14  15  130  225  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 15  16  155  256  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 16  17  183  289  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 17  18  216  324  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 18  19  253  361  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 19  20  296  400  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 20  21  345  441  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 21  22  402  484  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 22  23  466  529  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 23  24  540  576  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 24  25  625  625  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 25  26  721  676  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 26  27  831  729  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 27  28  957  784  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 28  29  1101  841  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 29  30  1264  900  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 30  31  1451  961  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 31  32  1663  1024  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 32  33  1905  1089  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 33  34  2180  1156  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 34  35  2494  1225  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 35  36  2850  1296  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 36  37  3256  1369  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 37  38  3718  1444  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 38  39  4242  1521  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 39  40  4838  1600  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 40  41  5516  1681  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 41  42  6286  1764  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 42  43  7161  1849  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 43  44  8154  1936  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 44  45  9283  2025  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 45  46  10565  2116  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 46  47  12020  2209  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 47  48  13672  2304  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 48  49  15548  2401  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 49  50  17677  2500  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 50  51  20094  2601  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 51  52  22837  2704  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 52  53  25950  2809  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 53  54  29483  2916  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 54  55  33492  3025  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 55  56  38041  3136  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 56  57  43202  3249  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 57  58  49058  3364  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 58  59  55703  3481  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 59  60  63242  3600  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 60  61  71795  3721  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 61  62  81499  3844  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 62  63  92508  3969  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 63  64  104997  4096  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 64  65  119167  4225  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 65  66  135242  4356  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 66  67  153480  4489  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 67  68  174170  4624  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 68  69  197644  4761  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 69  70  224276  4900  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 70  71  254492  5041  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 71  72  288773  5184  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 72  73  327669  5329  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 73  74  371800  5476  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 74  75  421875  5625  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 75  76  478692  5776  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 76  77  543165  5929  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 77  78  616324  6084  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 78  79  699344  6241  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 79  80  793558  6400  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 80  81  900478  6561  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 81  82  1.02182e+06  6724  
[04-08 15:02:24.166]AddBoatLevel: count, level, money, exp 82  83  1.15954e+06  6889  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 83  84  1.31586e+06  7056  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 84  85  1.49328e+06  7225  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 85  86  1.69467e+06  7396  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 86  87  1.92328e+06  7569  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 87  88  2.1828e+06  7744  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 88  89  2.47742e+06  7921  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 89  90  2.8119e+06  8100  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 90  91  3.19166e+06  8281  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 91  92  3.62286e+06  8464  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 92  93  4.11247e+06  8649  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 93  94  4.66844e+06  8836  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 94  95  5.29981e+06  9025  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 95  96  6.01683e+06  9216  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 96  97  6.83116e+06  9409  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 97  98  7.75608e+06  9604  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 98  99  8.80664e+06  9801  
[04-08 15:02:24.167]AddBoatLevel: count, level, money, exp 99  100  1e+07  10000  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 1  2  2  4  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 2  3  5  9  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 3  4  8  16  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 4  5  13  25  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 5  6  18  36  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 6  7  24  49  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 7  8  31  64  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 8  9  40  81  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 9  10  50  100  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 10  11  61  121  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 11  12  75  144  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 12  13  91  169  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 13  14  109  196  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 14  15  130  225  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 15  16  155  256  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 16  17  183  289  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 17  18  216  324  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 18  19  253  361  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 19  20  296  400  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 20  21  345  441  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 21  22  402  484  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 22  23  466  529  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 23  24  540  576  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 24  25  625  625  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 25  26  721  676  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 26  27  831  729  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 27  28  957  784  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 28  29  1101  841  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 29  30  1264  900  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 30  31  1451  961  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 31  32  1663  1024  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 32  33  1905  1089  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 33  34  2180  1156  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 34  35  2494  1225  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 35  36  2850  1296  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 36  37  3256  1369  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 37  38  3718  1444  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 38  39  4242  1521  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 39  40  4838  1600  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 40  41  5516  1681  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 41  42  6286  1764  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 42  43  7161  1849  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 43  44  8154  1936  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 44  45  9283  2025  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 45  46  10565  2116  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 46  47  12020  2209  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 47  48  13672  2304  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 48  49  15548  2401  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 49  50  17677  2500  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 50  51  20094  2601  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 51  52  22837  2704  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 52  53  25950  2809  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 53  54  29483  2916  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 54  55  33492  3025  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 55  56  38041  3136  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 56  57  43202  3249  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 57  58  49058  3364  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 58  59  55703  3481  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 59  60  63242  3600  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 60  61  71795  3721  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 61  62  81499  3844  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 62  63  92508  3969  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 63  64  104997  4096  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 64  65  119167  4225  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 65  66  135242  4356  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 66  67  153480  4489  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 67  68  174170  4624  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 68  69  197644  4761  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 69  70  224276  4900  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 70  71  254492  5041  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 71  72  288773  5184  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 72  73  327669  5329  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 73  74  371800  5476  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 74  75  421875  5625  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 75  76  478692  5776  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 76  77  543165  5929  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 77  78  616324  6084  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 78  79  699344  6241  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 79  80  793558  6400  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 80  81  900478  6561  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 81  82  1.02182e+06  6724  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 82  83  1.15954e+06  6889  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 83  84  1.31586e+06  7056  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 84  85  1.49328e+06  7225  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 85  86  1.69467e+06  7396  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 86  87  1.92328e+06  7569  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 87  88  2.1828e+06  7744  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 88  89  2.47742e+06  7921  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 89  90  2.8119e+06  8100  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 90  91  3.19166e+06  8281  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 91  92  3.62286e+06  8464  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 92  93  4.11247e+06  8649  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 93  94  4.66844e+06  8836  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 94  95  5.29981e+06  9025  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 95  96  6.01683e+06  9216  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 96  97  6.83116e+06  9409  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 97  98  7.75608e+06  9604  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 98  99  8.80664e+06  9801  
[04-08 15:50:49.757]AddBoatLevel: count, level, money, exp 99  100  1e+07  10000  
