[04-08 15:17:24.918]create bugbear859  pos = 6352 3558, angle = 145, rTime = 0
[04-08 15:17:24.919]create bugbear859  pos = 6761 13062, angle = 145, rTime = 0
[04-08 15:17:24.919]create bugbear859  pos = 10820 24989, angle = 145, rTime = 0
[04-08 15:17:24.919]create bugbear859  pos = 14673 20803, angle = 145, rTime = 0
[04-08 15:17:24.919]create bugbear859  pos = 12311 16188, angle = 145, rTime = 0
[04-08 15:17:24.919]create bugbear859  pos = 12015 13994, angle = 145, rTime = 0
[04-08 15:17:24.919]create bugbear859  pos = 12380 12324, angle = 145, rTime = 0
[04-08 15:17:24.919]create bugbear859  pos = 14339 12947, angle = 145, rTime = 0
[04-08 15:17:24.919]create bugbear859  pos = 18442 12863, angle = 145, rTime = 0
[04-08 15:17:24.919]create bugbear859  pos = 18791 7534, angle = 145, rTime = 0
[04-08 15:17:24.919]create bugbear859  pos = 14373 7541, angle = 145, rTime = 0
[04-08 15:17:24.919]create bugbear859  pos = 10186 6273, angle = 145, rTime = 0
[04-08 15:17:24.919]create bugbear859  pos = 10043 9649, angle = 145, rTime = 0
[04-08 15:17:24.919]create bugbear859  pos = 17186 3343, angle = 145, rTime = 0
[04-08 15:22:24.966]create bugbear860  pos = 11339 24276, angle = 145, rTime = 0
[04-08 15:22:24.970]create bugbear860  pos = 13812 18439, angle = 145, rTime = 0
[04-08 15:22:24.970]create bugbear860  pos = 15189 6218, angle = 145, rTime = 0
[04-08 15:22:24.970]create bugbear860  pos = 16393 12239, angle = 145, rTime = 0
[04-08 15:22:24.971]create bugbear860  pos = 14895 13905, angle = 145, rTime = 0
[04-08 15:22:24.971]create bugbear860  pos = 12824 12767, angle = 145, rTime = 0
[04-08 15:22:24.971]create bugbear860  pos = 10154 11890, angle = 145, rTime = 0
[04-08 15:27:24.927]create bugbear861  pos = 12167 25665, angle = 145, rTime = 0
[04-08 15:27:24.927]create bugbear861  pos = 13564 23189, angle = 145, rTime = 0
[04-08 15:27:24.927]create bugbear861  pos = 18274 13329, angle = 145, rTime = 0
[04-08 15:27:24.927]create bugbear861  pos = 19167 9778, angle = 145, rTime = 0
[04-08 15:27:24.927]create bugbear861  pos = 14915 14352, angle = 145, rTime = 0
[04-08 15:27:24.927]create bugbear861  pos = 13881 9818, angle = 145, rTime = 0
[04-08 15:27:24.927]create bugbear861  pos = 10854 11740, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear875  pos = 10785 24073, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear872  pos = 13477 22976, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear868  pos = 14639 15668, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear872  pos = 13318 16448, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear879  pos = 12347 15640, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear872  pos = 13948 13970, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear875  pos = 15914 12813, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear868  pos = 18943 10871, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear868  pos = 18963 8391, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear868  pos = 16101 6381, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear879  pos = 15389 6087, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear879  pos = 15126 6725, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear875  pos = 14694 7473, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear875  pos = 14046 10079, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear872  pos = 13561 9940, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear879  pos = 12202 10924, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear875  pos = 11824 10620, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear875  pos = 11026 11515, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear868  pos = 9987 11359, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear868  pos = 10050 10309, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear868  pos = 10009 8176, angle = 145, rTime = 0
[04-08 15:32:24.944]create bugbear868  pos = 12256 6305, angle = 145, rTime = 0
[04-08 15:37:24.971]create bugbear869  pos = 6383 3326, angle = 130, rTime = 0
[04-08 15:37:24.971]create bugbear880  pos = 6760 5283, angle = 310, rTime = 0
[04-08 15:37:24.971]create bugbear876  pos = 5985 6834, angle = 85, rTime = 0
[04-08 15:37:24.971]create bugbear876  pos = 7022 8707, angle = 70, rTime = 0
[04-08 15:37:24.972]create bugbear869  pos = 7976 9655, angle = 280, rTime = 0
[04-08 15:37:24.972]create bugbear869  pos = 6933 12327, angle = 280, rTime = 0
[04-08 15:37:24.972]create bugbear880  pos = 6095 15473, angle = 55, rTime = 0
[04-08 15:37:24.972]create bugbear880  pos = 8774 13019, angle = 145, rTime = 0
[04-08 15:37:24.972]create bugbear876  pos = 9894 12745, angle = 175, rTime = 0
[04-08 15:37:24.972]create bugbear869  pos = 10279 13445, angle = 310, rTime = 0
[04-08 15:37:24.972]create bugbear869  pos = 13154 21932, angle = 145, rTime = 0
[04-08 15:37:24.972]create bugbear873  pos = 13979 24290, angle = 280, rTime = 0
[04-08 15:37:24.972]create bugbear869  pos = 12066 25739, angle = 10, rTime = 0
[04-08 15:37:24.972]create bugbear880  pos = 10475 24473, angle = 115, rTime = 0
[04-08 15:37:24.972]create bugbear876  pos = 11915 22670, angle = 145, rTime = 0
[04-08 15:37:24.972]create bugbear873  pos = 13946 22903, angle = 265, rTime = 0
[04-08 15:37:24.972]create bugbear880  pos = 13144 20195, angle = 100, rTime = 0
[04-08 15:37:24.972]create bugbear873  pos = 13908 18644, angle = 235, rTime = 0
[04-08 15:37:24.972]create bugbear869  pos = 13055 18537, angle = 85, rTime = 0
[04-08 15:37:24.972]create bugbear873  pos = 14496 16124, angle = 280, rTime = 0
[04-08 15:37:24.972]create bugbear880  pos = 14689 15746, angle = 340, rTime = 0
[04-08 15:37:24.972]create bugbear869  pos = 11936 16302, angle = 70, rTime = 0
[04-08 15:37:24.972]create bugbear873  pos = 13456 13442, angle = 340, rTime = 0
[04-08 15:37:24.972]create bugbear869  pos = 16310 12095, angle = 220, rTime = 0
[04-08 15:37:24.972]create bugbear873  pos = 18525 13386, angle = 325, rTime = 0
[04-08 15:37:24.972]create bugbear880  pos = 18688 11302, angle = 175, rTime = 0
[04-08 15:37:24.973]create bugbear876  pos = 19509 10124, angle = 160, rTime = 0
