[04-08 15:04:46.157]recieved kick acctid:[2160] command (not in play list) - clearing stale session
[04-08 15:04:48.930](127.0.0.1):[admin3]login success, 	 nline/total:1/0
[04-08 15:05:06.408](127.0.0.1):[admin3]select char[tempra]begin paly...,	 online/total:1/0
[04-08 15:05:06.623](127.0.0.1):[admin3] char [tempra]entry map server begin play...!	 online/total:1/1
[04-08 15:05:20.784](127.0.0.1):[admin4]login success, 	 nline/total:2/1
[04-08 15:06:09.814](127.0.0.1):[admin4]create char [sads],	 online/total:2/1
[04-08 15:06:13.533](127.0.0.1):[admin4]select char[sads]begin paly...,	 online/total:2/1
[04-08 15:06:13.760](127.0.0.1):[admin4] char [sads]entry map server begin play...!	 online/total:2/2
[04-08 15:46:12.563](127.0.0.1):[admin3]logout,	 online/total:1/1
[04-08 15:46:14.018](127.0.0.1):[admin4]logout,	 online/total:0/0
[04-08 15:51:28.088](127.0.0.1):[admin4]login success, 	 nline/total:1/0
[04-08 15:51:35.868](127.0.0.1):[admin3]login success, 	 nline/total:2/0
[04-08 15:51:39.523](127.0.0.1):[admin4]select char[sads]begin paly...,	 online/total:2/0
[04-08 15:51:39.783](127.0.0.1):[admin4] char [sads]entry map server begin play...!	 online/total:2/1
[04-08 15:51:41.583](127.0.0.1):[admin3]select char[tempra]begin paly...,	 online/total:2/1
[04-08 15:51:41.672](127.0.0.1):[admin3] char [tempra]entry map server begin play...!	 online/total:2/2
[04-08 15:21:47.474](127.0.0.1):[admin3]exit char[tempra]begin entry select char UI...,	 online/total:2/1
[04-08 15:21:50.605](127.0.0.1):[admin3]select char[tempra]begin paly...,	 online/total:2/1
[04-08 15:21:50.693](127.0.0.1):[admin3] char [tempra]entry map server begin play...!	 online/total:2/2
[04-08 15:22:15.663](127.0.0.1):[admin3]exit char[tempra]begin entry select char UI...,	 online/total:2/1
[04-08 15:22:21.805](127.0.0.1):[admin3]select char[tempra]begin paly...,	 online/total:2/1
[04-08 15:22:21.897](127.0.0.1):[admin3] char [tempra]entry map server begin play...!	 online/total:2/2
