//ID	Item Name	ICON	Item Model	Lance Texture	Carsise Texture	Phyllis Texture	Ami Texture	Ship Symbol	ship siz number	Type	obtain prefix rate	set ID	Forging Level	Stable value	only ID	Tradeable Or Not	picked	Discard	Confirm to delete	stackable	is it instantiation	SELLING PRICE	Lance=1,Carise=2,Phyliss=3,Ami=4	Character Level	Class	Character Nick	Character Reputation	item can equip location	item switch location	item obtain into location determine	Str modulus bonus	Agi modulus bonus	Dex modulus bonus	Con modulus bonus	Spr modulus bonus	Luk modulus bonus	ASPD Bonus	????????	?????????	?????????	Percent Def Bonus	Percent HP Bonus	Percent SP  Bonus	flee modulus bonus	Hit modulus bonus	crt modulus bonus	mf modulus bonus	hrec modulus bonus	srec modulus bonus	mspd modulus bonus	col modulus bonus	STR (STAT)	AGI (STAT)	ACC (STAT)	CON (STAT)	SPR (STAT)	Lukconstant bonus	????????	????????	Min Attack Power	Max Attack Power	+ Defense	+ Max HP Bonus	+ Max SP Bonus	+ Dodge Rate Bonus	hitconstant bonus	crtconstant bonus	mfconstant bonus	HP Recovery Speed Bonus	SP Recovery Speed Bonus	+ MSPD Bonus	colconstant bonus	Physical Resist	item left hand exert identifier	Item Energy	Durability	Max instantiation hole value	Ship durability recovered	can contain cannon quantity	ship member count	member label	Cargo Capacity	Fuel consumption	Cannonball Path of Flight speed	ship movement speed	usage effect	display effect	item bind effect	item bind effect dummy	Display item effect (item put at object slot 1 to show effect)	item drop model effect	item usage effect	Description (Item level)	Remark
0001	Short Sword	w0001	10100001	01010001	02010001	03010070	0	0	00	1	10	0	0	7	1	1	1	1	1	1	1	1015	1,2,3	10	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	30,58	38,70	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sword that is slightly shorter	1
0002	Long Sword	w0002	10100001	01010002	02010002	03010071	0	0	00	1	10	0	0	7	1	1	1	1	1	1	1	4897	1,2,3	20	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	56,80	70,98	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sword that is slightly longer	1
0003	Fencing Sword	w0003	10100001	01010003	02010003	03010072	0	0	00	1	10	0	0	6	1	1	1	1	1	1	1	12948	1,2,3	30	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	79,89	97,111	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sword made by western country. Light and fast	1
0004	Serpentine Sword	w0004	10100001	01010004	02010004	03010073	0	0	00	1	10	0	0	6	1	1	1	1	1	1	1	26123	1,3	40	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	89,97	109,121	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0005	Dazzling Sword	w0005	10100001	01010005	02010005	03010074	0	0	00	1	10	0	0	5	1	1	1	1	1	1	1	45219	1,3	50	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	102,118	126,146	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0006	Wyrm Sword	w0006	10100001	01010006	02010006	03010075	0	0	00	1	10	0	0	4	1	1	1	1	1	1	1	70938	1,3	60	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	118,134	146,166	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0007	Sacro Sword	w0007	10100001	01010007	02010007	03010076	0	0	00	1	10	0	0	4	1	1	1	1	1	1	1	103915	1,3	70	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,17	0,17	0,17	0,17	0,17	0,0	0,0	0,0	134,148	164,182	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0008	Newbie Knife	w0092	10100001	01010008	02010008	03010008	04010008	0	00	1	0	0	0	0	0	1	1	1	1	1	1	27	-1	1	-1	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	14,14	18,18	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0009	Newbie Sword	w0092	10100001	01010008	02010008	03010008	04010008	0	00	1	0	0	0	0	0	1	1	1	1	1	1	100	-1	7	-1	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	29,30	33,38	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0010	Short Metal Sword	w0260	10100001	01010009	02010009	03010077	0	0	00	1	10	0	0	7	1	1	1	1	1	1	1	2403	1,2,3	15	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	44,68	54,86	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
