//编号（道具id）	道具名	精炼特效表现类型1   （攻击系）	精炼特效表现类型2   (Defensive Series)	精炼特效表现类型3   (Poison Series)	精炼特效表现类型4   (增益状态系）	精炼特效表现类型5   （攻击系＋防御系）	精炼特效表现类型6      （攻击系＋毒副状态系）	精炼特效表现类型7   （攻击系＋增益状态系）	精炼特效表现类型8   （防御+毒）	精炼特效表现类型9   （防御+增益）	精炼特效表现类型10   （毒+增益）	精炼特效表现类型11   （攻击+防御+毒）	精炼特效表现类型12   （攻击+防御+增益）	精炼特效表现类型13   （攻击+毒+增益）	精炼特效表现类型14   （防御+毒+增益）	Lance's forging base effect value	卡西斯精练效果基准值	菲利尔精练效果基准值	艾米精练效果基准值
0004	Serpentine Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0005	Dazzling Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0006	Wyrm Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0007	Sacro Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.7	1.1	1	0.7
0015	Criss Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0016	Paladin Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0017	Bone Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0018	Thunder Blade	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0019	Onyx Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0020	Rebel Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0021	Charging Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0022	Crescent Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0023	Delusion Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0039	Exquisite Pistol	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0040	Exquisite Rifle	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0041	Laser Gun	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0042	Venom Gun	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0043	Firegun of Sol	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0044	Token Pistol	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0045	Gattling Firegun	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0076	Moon Kris	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0077	Hyena Dagger	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0078	Dagger of Hydra	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0079	Trident of Poseidon	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0083	Crystalline Kris	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
