//Serial	NPC Name	NPC Type	Chrindex ID	Show Mini-map	Coordinates starting point	Coordination Goal	NPC placement	Region	Region ID	NPC Script	info manage	Test Status
0 	Shaitan Teleporter - May	1	424	7	91816,356229	91816,356229	204	Shaitan City	13	0	TeleportCity	0
1 	High Priest - Gannon	1	23	0	86299,350092	86299,350092	264	Shaitan City	13	0	r_talk47	0
2 	Clan Chief - Albuda	1	420	0	89804,364010	89804,364010	174	Shaitan City	13	0	r_talk48	0
3 	Tools - Ouya	1	19	13	86214,359121	86214,359121	204	Shaitan City	13	0	r_talk49	0
4 	Tailor - Moya	1	17	2	89463,360213	89463,360213	174	Shaitan City	13	0	r_talk50	0
5 	Banker - Judis	1	412	0	90637,353900	90637,353900	174	Shaitan City	13	0	r_talk51	0
6 	Coaster Guard - Franco	1	12	0	86734,366071	86734,366071	219	Shaitan City	13	0	r_talk52	0
7 	Blacksmith - Smithy	1	21	1	90260,349526	90260,349526	219	Shaitan City	13	0	r_talk53	0
8 	Girl - Lena	1	30	0	88307,352019	88307,352019	204	Shaitan City	13	0	r_talk54	0
9 	Grocery - Amos	1	408	12	84040,358567	84040,358567	189	Shaitan City	13	0	r_talk55	0
10	Innkeeper - Harken	1	411	0	81035,349813	81035,349813	144	Shaitan City	13	0	r_talk56	0
11	Nurse - Landy	1	407	3	89025,356925	89025,356925	182	Shaitan City	13	0	r_talk57	0
12	Pirate Decky	1	17	0	79222,367002	79222,367002	54	Shaitan City	13	0	r_talk58	0
13	Newbie Guide - Resline	1	11	15	87614,357250	87614,357250	174	Shaitan City	13	0	r_talk59	0
14	Builder - Franklin	1	404	0	90111,366888	90111,366888	-94	Shaitan City	13	0	r_talk60	0
15	Navy HQ - Admiral Nic	1	443	0	86507,364804	86507,364804	174	Shaitan City	13	0	r_talk61	0
16	Shaitan Chairman - Guile	1	415	0	87362,354566	87362,354566	174	Shaitan City	13	0	r_talk62	0
17	Tourist - Wowo	1	19	0	84634,349945	84634,349945	174	Shaitan City	13	0	r_talk63	0
18	Lamb - Welly	1	435	0	89875,368331	89875,368331	183	Shaitan City	13	0	r_talk64	0
19	Assistant - Tintin	1	17	0	87171,354774	87171,354774	159	Shaitan City	13	0	r_talk65	0
20	Tourist - Yay	1	403	0	79792,355469	79792,355469	324	Shaitan City	13	0	r_talk66	0
21	Sand Bandit - Supermun	1	425	0	108068,308688	108068,308688	114	Southern Desert	15	0	r_talk67	0
22	Merman Prince - Hassan	1	422	0	125471,349171	125471,349171	319	Prairie Desert	16	0	r_talk68	0
23	Musician - Shamel	1	424	0	66465,309367	66465,309367	204	Prairie Desert	16	0	r_talk69	0
24	Holy Priestess - Ada	1	430	0	86248,330381	86248,330381	159	Old Shaitan City	14	0	r_talk70	0
25	Tourist - Fairu	1	403	0	93176,352977	93176,352977	150	Shaitan City	13	0	r_talk71	0
26	Guildmaster - Forlan	1	14	6	83171,354853	83171,354853	234	Shaitan City	13	0	r_talk72	0
27	Guard - Michael	1	12	0	95860,354925	95860,354925	174	Prairie Desert	16	0	r_talk89	0
28	Physician - Shala	1	424	11	90311,364658	90311,364658	264	Shaitan City	13	0	r_talk91	0
29	Minelli	1	441	0	124468,318623	124468,318623	234	Babul Haven	62	0	r_talk111	0
30	Augustan	1	437	0	119686,357020	119686,357020	204	Prairie Desert	16	0	r_talk112	0
31	Jeynaa	1	17	0	117710,345654	117710,345654	219	Prairie Desert	16	0	r_talk113	0
32	Ditaro	1	19	0	80464,309888	80464,309888	219	Oasis Haven	57	0	r_talk114	0
33	Ruben Actus	1	10	0	113130,315353	113130,315353	189	Southern Desert	15	0	r_talk115	0
34	Merrix	1	408	0	111861,361173	111861,361173	174	Southern Desert	15	0	r_talk116	0
35	Gudas	1	404	0	92184,299184	92184,299184	159	Southern Desert	15	0	r_talk117	0
36	Kavosky	1	405	0	77946,309841	77946,309841	9	Oasis Haven	57	0	r_talk120	0
37	Beck	1	402	0	55628,293491	55628,293491	114	Prairie Desert	16	0	r_talk123	0
38	Ham	1	403	0	82628,334708	82628,334708	189	Old Shaitan City	14	0	r_talk124	0
39	Love Yuri	1	15	0	112743,341706	112743,341706	219	Prairie Desert	16	0	r_talk125	0
40	Robin	1	429	0	113109,330562	113109,330562	159	Prairie Desert	16	0	r_talk128	0
41	Harbor Operator - Mark	1	448	9	82312,369841	82312,369841	245	Shaitan City	13	0	r_talk153	0
42	Solaru	1	425	0	120252,317960	120252,317960	294	Babul Haven	62	0	r_talk133	0
43	Odessis	1	415	0	120106,320193	120106,320193	114	Babul Haven	62	0	r_talk100	0
44	Momo	1	437	11	120982,319677	120982,319677	249	Babul Haven	62	0	r_talk166	0
45	Teleporter - Berlin	1	424	7	122229,319650	122229,319650	189	Babul Haven	62	0	TeleportHaven	0
46	Wenona	1	444	0	78141,312711	78141,312711	129	Oasis Haven	57	0	r_talk167	0
47	Fey Fey	1	24	0	79742,312908	79742,312908	114	Oasis Haven	57	0	r_talk168	0
48	Marcus	1	449	11	78919,311283	78919,311283	204	Oasis Haven	57	0	r_talk169	0
49	Teleporter - Aina	1	424	7	80390,311472	80390,311472	249	Oasis Haven	57	0	TeleportHaven	0
50	Harbor Operator - Paul	1	452	9	237202,73768	237202,73768	69	Isle of Chill	31	0	r_talk188	0
51	Harbor Operator - Tomas	1	452	9	174453,377489	174453,377489	339	Canary Isle	38	0	r_talk189	0
52	Harbor Operator - Xad	1	452	9	252852,239345	252852,239345	-124	Cupid Isle	37	0	r_talk190	0
53	Harbor Operator - Luigi	1	452	9	46444,46825	46444,46825	10	Norite Harbor Haven	75	0	r_talk191	0
54	Harbor Operator - Buni	1	452	9	204208,63550	204208,63550	20	Aerase Haven	76	0	r_talk192	0
55	Harbor Operator - Domoru	1	452	9	349830,92343	349830,92343	180	Lahu Haven	77	0	r_talk193	0
