//ID	Name	Start Coordinates	End Coordinates	Char IDs	Map
1	1	215000,252800	229000,267600	185,75	garner
2	2	215000,252800	229000,260000	71,184	garner
3	3	215000,260000	229000,267600	71,103	garner
4	4	202700,252800	215000,267600	75,71	garner
5	5	202700,252800	208700,260000	119,0	garner
6	6	208700,260000	215000,267600	75,185	garner
7	7	208700,252800	215000,260000	119,184	garner
8	8	202700,260000	208700,267600	125,103	garner
9	9	201900,267500	216200,278600	75,185	garner
10	10	201900,272000	210000,278600	206,103	garner
11	11	210000,267500	216200,278600	71,103	garner
12	12	193200,261700	201400,277700	103,104	garner
13	13	195200,265700	198400,273700	125,126	garner
14	14	157500,251600	202200,261000	119,237	garner
15	15	190000,251600	200000,261000	237,0	garner
16	16	163000,254700	175500,261000	189,0	garner
17	17	178700,246700	201700,251800	103,0	garner
18	18	178700,246700	184700,247700	214,0	garner
19	19	190000,242700	201700,251800	237,119	garner
20	20	176700,249700	180000,251800	227,274	garner
21	21	170700,247700	184000,255800	227,31	garner
22	22	154400,260600	164500,277200	237,0	garner
23	23	156400,262600	162500,275200	252,0	garner
24	24	141000,260000	158700,277700	224,76	garner
25	25	144000,264000	156700,275700	298,0	garner
26	26	126100,260000	141000,277700	189,224	garner
27	27	132000,264000	140000,272700	225,299	garner
28	28	183000,278400	197100,296300	75,185	garner
29	29	185000,280400	196100,290300	258,0	garner
30	30	170400,278400	183000,296300	75,185	garner
31	31	172400,280400	180000,291300	126,0	garner
32	32	149700,278800	168100,294800	103,184	garner
33	33	155700,282800	163100,290800	189,0	garner
34	34	124700,277600	153200,294700	189,139	garner
35	35	129700,284600	153200,294700	85,295	garner
36	36	154500,295400	170800,308000	258,0	garner
37	37	157000,298400	167800,305000	94,0	garner
38	38	154500,308000	170800,319800	185,0	garner
39	39	157500,311000	167800,316800	139,0	garner
40	40	125100,294200	156800,319800	189,252	garner
41	41	125100,296200	151800,316800	224,264	garner
42	42	59100,223500	77500,253500	205,107	garner
43	43	59100,223500	70000,238500	519,0	garner
44	44	60000,238500	72500,253500	547,55	garner
45	45	103100,260000	126200,267800	224,0	garner
46	46	107100,260000	125200,267800	80,0	garner
47	47	103400,268000	125300,283500	295,0	garner
48	48	103400,268000	125300,273000	136,0	garner
49	49	120000,268000	125300,280500	127,0	garner
50	50	98600,283500	124900,301200	252,0	garner
51	51	102600,287500	120900,297200	76,0	garner
52	52	98600,301200	125700,318100	139,0	garner
53	53	98600,301200	110000,312100	93,0	garner
54	54	115000,307200	124700,316100	135,0	garner
55	55	103800,303900	106600,303600	211,0	garner
56	56	83500,254000	103400,283500	128,0	garner
57	57	90500,254000	103400,263500	277,0	garner
58	58	87500,266000	99400,283500	253,0	garner
59	59	83500,283500	98600,314800	189,0	garner
60	60	86500,291500	95600,302800	64,0	garner
61	61	29300,223500	59100,253300	205,107	garner
62	62	35300,243500	59100,253300	520,566	garner
63	63	53100,223500	59100,243300	543,0	garner
64	64	29300,223500	53100,243300	567,568	garner
65	65	29500,252000	63200,279300	205,107	garner
66	66	29600,253000	45000,265000	67,0	garner
67	67	46100,253000	63100,265000	245,212	garner
68	68	30500,267000	45900,278200	197,0	garner
69	69	46100,267000	63100,278200	66,0	garner
70	70	63200,253300	78300,278100	85,224	garner
71	71	63200,253300	73300,265100	204,0	garner
72	72	68200,263300	78300,276100	140,0	garner
73	73	56400,279500	81000,308800	205,107	garner
74	74	70000,279500	81000,308800	500,271	garner
75	75	56400,280000	68000,292800	37,0	garner
76	76	56400,294800	68000,308800	518,0	garner
77	77	48900,138800	62300,163500	500,107	garner
78	78	49900,139800	61300,148000	513,0	garner
79	79	49900,149000	61300,162500	41,0	garner
80	80	49300,164000	84500,180300	500,107	garner
81	81	58000,166000	84500,177000	505,0	garner
82	82	49300,164000	53000,180300	267,0	garner
83	83	85100,138400	98800,177900	500,107	garner
84	84	88100,148400	95800,167900	261,541	garner
85	85	53000,182100	73300,253000	500,107	garner
86	86	54000,183100	72300,217000	503,0	garner
87	87	76200,181700	91400,202900	500,107	garner
88	88	79200,185700	86400,198900	107,0	garner
89	89	28300,206300	76200,220100	205,107	garner
90	90	28500,205300	38500,219000	522,0	garner
91	91	40000,205300	50000,219000	511,201	garner
92	92	53000,205300	63000,219000	549,0	garner
93	93	65000,205300	76000,219000	205,250	garner
94	94	77800,202600	87400,227400	500,107	garner
95	95	79800,207600	85400,225400	248,0	garner
96	96	77500,227800	87400,251400	500,107	garner
97	97	78500,237400	85400,250400	86,0	garner
98	98	78500,227800	85400,235400	249,0	garner
99	99	30000,128500	49000,152200	500,107	garner
100	100	32000,130000	40000,138000	508,0	garner
101	101	40000,126000	48000,138000	514,0	garner
102	102	32000,138000	40000,150000	52,565	garner
103	103	40000,138000	48000,150000	42,0	garner
104	104	57000,104100	78100,137800	500,107	garner
105	105	67000,106100	77100,115000	541,0	garner
106	106	58000,120000	67100,137800	38,0	garner
107	107	69000,120000	78100,137800	515,0	garner
108	108	77200,104100	100000,137700	500,107	garner
109	109	78200,105100	88000,120000	521,0	garner
110	110	89000,105100	100000,120000	261,0	garner
111	111	82200,121000	95000,135700	284,0	garner
112	112	30000,152200	49100,178000	500,107	garner
113	113	41000,153200	48100,161000	666,0	garner
114	114	41000,162000	46100,176000	202,0	garner
115	115	30000,156200	38000,160000	546,0	garner
116	116	4100,20000	175700,95900	97,90	garner
117	117	4100,24000	110000,54000	242,592	garner
118	118	4100,60000	110000,90000	610,199	garner
119	119	130000,35000	165700,75000	598,614	garner
120	120	179700,20000	331600,137300	242,92	garner
121	121	180000,20000	230000,60000	78,581	garner
122	122	230000,20000	280000,60000	601,619	garner
123	123	280000,20000	330000,60000	54,634	garner
124	124	180000,110000	210000,147300	573,574	garner
125	125	235000,110000	323000,147300	573,574	garner
126	126	333400,20000	406000,64000	97,90	garner
127	127	338400,15000	400000,49500	602,0	garner
128	128	333400,92000	406000,139100	60,90	garner
129	129	103100,98500	180400,185200	97,90	garner
130	130	139100,100000	175400,140000	90,613	garner
131	131	129100,145200	160400,175200	90,595	garner
132	132	101600,186000	233600,234600	97,90	garner
133	133	105000,188000	165000,208000	614,572	garner
134	134	105000,210000	165000,230000	92,59	garner
135	135	170000,190000	231000,232000	91,599	garner
136	136	266400,143600	406000,238000	97,90	garner
137	137	270000,173600	340000,208000	92,0	garner
138	138	346000,145600	406000,185600	242,0	garner
139	139	346000,196000	406000,236000	592,0	garner
140	140	230400,241600	320000,330000	97,90	garner
141	141	280000,241600	320000,271600	97,595	garner
142	142	238400,286600	280000,328000	97,595	garner
143	143	330000,242400	406000,330000	97,90	garner
144	144	370000,245400	406000,275400	90,613	garner
145	145	332000,280000	366000,330000	90,613	garner
146	146	380000,300000	406000,330000	60,575	garner
147	147	4100,322000	221600,398800	97,90	garner
148	148	4300,324000	10000,396800	92,0	garner
149	149	102000,324000	160000,396800	633,58	garner
150	150	161000,324000	221000,396800	91,579	garner
151	151	223800,334400	406000,397200	97,91	garner
