//ID	Name	Level	Coordinates	Map
0	Monster Name 	Monster Level 	0,0	Region 
1	Mystic Shrub	1	2092,2654	Ascaron 
2	Sleepy Snail	2	2108,2694	Ascaron 
3	Forest Spirit	3	2046,2611	Ascaron 
4	Little Squirt	3	2077,2811	Ascaron 
5	Mystic Flower	4	2210,2612	Ascaron 
6	Mini Bee	5	2077,2772	Ascaron 
7	Little Squidy	5	2294,2548	Ascaron 
8	Greedy Shroom	6	2218,2594	Ascaron 
9	Grass Tortoise	7	2066,2555	Ascaron 
10	Cuddly Lamb	8	1968,2697	Ascaron 
11	Bubble Clam	9	2191,2514	Ascaron 
12	Marsh Spirit	9	1998,2625	Ascaron 
13	Piglet	10	1950,2563	Ascaron 
14	Bear Cub	12	1899,2825	Ascaron 
15	Oyster	13	1800,2472	Ascaron 
16	Whacky Lamb	14	1972,2683	Ascaron 
17	Armored Crab	15	1766,2536	Ascaron 
18	Sentry Crab	16	1784,2508	Ascaron 
19	Angelic Panda	17	1693,2579	Ascaron 
20	Killer Shroom	19	1589,2668	Ascaron 
21	Smuggler	20	1624,3017	Ascaron 
22	Barbaric Bee	20	1667,3140	Ascaron 
23	Owlie	21	1490,2712	Ascaron 
24	Tusk Battle Boar	23	1296,2977	Ascaron 
25	Air Porky	23	1357,2864	Ascaron 
26	Bandit	25	1038,3062	Ascaron 
27	Meadow Deer	25	1469,2671	Ascaron 
28	Seaweed	25	899,580	Ascaron 
29	Wild Seaweed	25	1448,1602	Ascaron 
30	Stramonium	26	1381,2904	Ascaron 
31	Sea Jelly	26	1573,1200	Ascaron 
32	Floating Seaweed	26	1573,1200	Ascaron 
33	Rookie Boxeroo	27	1152,2908	Ascaron 
34	Skeleton Fish	27	3697,1156	Ascaron 
35	Icky Seaweed	27	3930,3150	Ascaron 
36	Mature Grass Tortoise	28	1199,3117	Ascaron 
37	Mad Boar	30	911,2972	Ascaron 
38	Berserk Mad Boar	30	882,2967	Ascaron 
39	Grassland Elk	31	1360,2684	Ascaron 
40	White Owlie 	32	1360,2684	Ascaron 
41	Electric Sea Jelly	32	2005,2110	Ascaron 
42	Grassland Wolf	33	1144,2705	Ascaron 
43	Grassland Wolf Champion	33	1143,2705	Ascaron 
44	Ocean Water Dancer	33	1910,3604	Ascaron 
45	Vicious Baby Squid	33	1479,550	Ascaron 
46	Berserk Boxeroo	34	1162,2639	Ascaron 
47	Evil Water Dancer	34	2005,2110	Ascaron 
48	Slowpoke Snail	35	1227,2743	Ascaron 
49	Mermaid	35	1350,2200	Ascaron 
50	Poisonous Sea Jelly	35	1350,1980	Ascaron 
51	Mud Monster	36	935,2748	Ascaron 
52	Tempest Sea Jelly	36	1350,2200	Ascaron 
53	Berserk Sea Jelly	36	1310,3604	Ascaron 
54	Stinging Beak	37	863,2632	Ascaron 
55	Ruby Dolphin	37	1310,3604	Ascaron 
56	Blackout Squid	37	1350,1980	Ascaron 
57	Fearsome Tortoise	38	970,2588	Ascaron 
58	Fish Bone	38	2557,169	Ascaron 
59	Octopus	38	571,390	Ascaron 
60	Thickskin Lizard	39	733,2697	Ascaron 
61	Great Polliwog	39	571,750	Ascaron 
62	Chameleon Squid	39	571,750	Ascaron 
63	Rock Golem 	40	683,2592	Ascaron 
64	Malicious Azure Siren	40	3050,400	Ascaron 
65	Azure Siren	40	3050,400	Ascaron 
66	Wolf	41	755,2942	Ascaron 
67	Evil Skeleton Fish	41	3050,400	Ascaron 
68	Needle of Stramonium	42	560,1599	Ascaron 
69	Werewolf Warrior	42	755,2942	Ascaron 
70	Tribal Villager	43	824,2305	Ascaron 
71	Crimson Siren	45	2050,400	Ascaron 
72	Pumpkin Knight	46	622,2864	Ascaron 
73	Elite Tribal Warrior	46	821,2121	Ascaron 
74	Shocking Sea Jelly	46	2550,400	Ascaron 
75	Evil Blood Polliwog	47	2050,400	Ascaron 
