//ID	Name	Level	Coordinates	Map
0	NPCï¿½ï¿½ï¿½ï¿½	NPCÎ»ï¿½ï¿½	0,0	ï¿½ï¿½ï¿½ï¿½
1	Magician Chiatan 	Argent City	2229,2782	Ascaron 
2	Event NPC - Pappa	Argent City	2222,2768	Ascaron 
3	Redemption - Bingo	Argent City	2231,2715	Ascaron 
4	Princess Julia	Argent City	2232,2801	Ascaron 
5	Newbie Guide - Senna	Argent City	2223,2785	Ascaron 
6	Nurse - Gina	Argent City	2244,2770	Ascaron 
7	Argent Teleporter - Jovial	Argent City	2187,2776	Ascaron 
8	Island Teleporter - Silvius	Argent City	2248,2853	Ascaron 
9	Harbor Operator - Shirley	Argent City	2243,2826	Ascaron 
10	Pucca	Argent City	2184,2776	Ascaron 
11	Mysterious Augur 	Argent City	2218,2782	Ascaron 
12	Crystal Master	Argent City	2216,2771	Ascaron 
13	Treasure Hunter Leya	Argent City	2190,2775	Ascaron 
14	Arena Administrator	Argent City	2210,2893	Ascaron 
15	Navy Recruitment - Rachel	Argent City	2194,2774	Ascaron 
16	Pirate Informer - Gewas	Argent City	2224,2883	Ascaron 
17	Navy Informer - Dalongdan	Argent City	2201,2818	Ascaron 
18	Weird Hat Seller	Argent City	2240,2770	Ascaron 
19	Blacksmith - Goldie	Argent City	2193,2706	Ascaron 
20	Tailor - Granny Nila	Argent City	2267,2704	Ascaron 
21	Tailor - Bebe	Argent City	2265,2704	Ascaron 
22	Grocery - Jimberry	Argent City	2232,2729	Ascaron 
23	Physician - Ditto	Argent City	2250,2770	Ascaron 
24	Banker - Monica	Argent City	2220,2704	Ascaron 
25	Builder - Sinbad	Argent City	2255,2801	Ascaron 
26	Wood Processing Merchant	Argent City	2261,2717	Ascaron 
27	Hairstylist - Cartel	Argent City	2215,2813	Ascaron 
28	Innkeeper - Marriam	Argent City	2211,2781	Ascaron 
29	Trader - Chiroro	Argent City	2327,2823	Ascaron 
30	Citizen - Margaret	Argent City	2279,2746	Ascaron 
31	Castle Guard - Peter	Argent City	2192,2767	Ascaron 
32	Little Daniel	Argent City	2193,2730	Ascaron 
33	Argent Secretary - Salvier	Argent City	2219,2749	Ascaron 
